compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
163,M12,26.21,0.0004,26.83,Dataset 12.xlsx,156
163,M13,26.31,0.0003,19.72,Dataset 13.xlsx,156
163,M14,22.57,0.0008,29.09,Dataset 14.xlsx,156
163,M15,26.51,0,15.57,Dataset 15.xlsx,156
163,M16,54.55,0.0003,42.64,Dataset 16.xlsx,156
163,M17,7.19,0.0025,6.82,Dataset 17.xlsx,156
163,M18,9.98,0.0014,5.93,Dataset 18.xlsx,156
163,M19,8.04,0.0012,4.89,Dataset 19.xlsx,156
163,M20,10.46,0,15.74,Dataset 20.xlsx,155
163,M21,7.6,0.0135,4.39,Dataset 21.xlsx,155
163,M22,18.19,0.0009,14.03,Dataset 22.xlsx,155
163,M23,15.37,0.0005,19.49,Dataset 23.xlsx,155
163,M24,18.66,0,10.96,Dataset 24.xlsx,155
163,M25,14.26,0.0025,9.97,Dataset 25.xlsx,164
163,M26,12.91,0.0011,15.55,Dataset 26.xlsx,164
163,M27,16.69,0.0003,11.94,Dataset 27.xlsx,164
163,M28,14.58,0.0042,17.69,Dataset 28.xlsx,164
163,M29,16.66,0.003,8.97,Dataset 29.xlsx,164
163,M30,10.25,0.0004,6.59,Dataset 30.xlsx,164
164,M01,7.08,0.002,4.57,Dataset 01.xlsx,157
164,M02,9.44,0.001,9.31,Dataset 02.xlsx,157
164,M03,9.6,0.0005,6.07,Dataset 03.xlsx,157
164,M04,8.77,0.0007,5.34,Dataset 04.xlsx,157
164,M05,8.8,0,5.72,Dataset 05.xlsx,157
164,M06,12.11,0,7.65,Dataset 06.xlsx,157
164,M07,13.06,0.0016,8.53,Dataset 07.xlsx,157
164,M08,17.41,0.0004,18.13,Dataset 08.xlsx,157
164,M09,16.18,0.0007,16.35,Dataset 09.xlsx,157
164,M10,19.08,0.0003,13.13,Dataset 10.xlsx,157
164,M11,18.2,0,12.74,Dataset 11.xlsx,157
164,M12,24.47,0.0008,24.97,Dataset 12.xlsx,157
164,M13,24.45,0,18.25,Dataset 13.xlsx,157
164,M14,20.81,0.0009,26.75,Dataset 14.xlsx,157
164,M15,24.37,0.0006,14.23,Dataset 15.xlsx,157
164,M16,52.34,0.0002,40.87,Dataset 16.xlsx,157
164,M17,6.89,0.0014,6.48,Dataset 17.xlsx,157
164,M18,9.37,0.0024,5.51,Dataset 18.xlsx,157
164,M19,8.64,0.0007,5.33,Dataset 19.xlsx,157
164,M20,11.02,0.0004,16.63,Dataset 20.xlsx,156
164,M21,8.25,0.0009,4.85,Dataset 21.xlsx,156
164,M22,20.14,0.0008,15.64,Dataset 22.xlsx,156
164,M23,17.03,0.0012,21.71,Dataset 23.xlsx,156
164,M24,20.58,0.0006,12.19,Dataset 24.xlsx,156
164,M25,13.86,0.0006,9.66,Dataset 25.xlsx,165
164,M26,12.51,0.0012,15.04,Dataset 26.xlsx,165
164,M27,15.91,0.0004,11.33,Dataset 27.xlsx,165
164,M28,13.84,0.0006,16.74,Dataset 28.xlsx,165
164,M29,15.74,0,8.43,Dataset 29.xlsx,165
164,M30,9.62,0.001,6.13,Dataset 30.xlsx,165
165,M01,8.36,0.0017,5.58,Dataset 01.xlsx,158
165,M02,11.08,0,11.11,Dataset 02.xlsx,158
165,M03,12.92,0.0004,8.51,Dataset 03.xlsx,158
165,M04,11.78,0.0009,7.52,Dataset 04.xlsx,158
165,M05,12.01,0,8.17,Dataset 05.xlsx,158
165,M06,15.59,0,10.14,Dataset 06.xlsx,158
165,M07,18.11,0,12.22,Dataset 07.xlsx,158
165,M08,22.35,0.0003,23.56,Dataset 08.xlsx,158
165,M09,20.77,0.0004,21.27,Dataset 09.xlsx,158
165,M10,23.88,0.0003,16.69,Dataset 10.xlsx,158
165,M11,22.89,0.0008,16.28,Dataset 11.xlsx,158
165,M12,32.81,0.0002,33.83,Dataset 12.xlsx,158
165,M13,34.12,0.0006,25.87,Dataset 13.xlsx,158
165,M14,30.96,0.0006,40.28,Dataset 14.xlsx,158
165,M15,34.84,0.0003,20.78,Dataset 15.xlsx,158
165,M16,63.27,0.0001,49.62,Dataset 16.xlsx,158
165,M17,8.61,0.0011,8.36,Dataset 17.xlsx,158
165,M18,12.15,0.0006,7.44,Dataset 18.xlsx,158
165,M19,11.54,0,7.45,Dataset 19.xlsx,158
165,M20,13.31,0.0003,20.29,Dataset 20.xlsx,157
165,M21,10.48,0.0014,6.43,Dataset 21.xlsx,157
165,M22,27.28,0.0006,21.55,Dataset 22.xlsx,157
165,M23,23.75,0.0009,30.66,Dataset 23.xlsx,157
165,M24,28.12,0.0004,17.03,Dataset 24.xlsx,157
165,M25,15.83,0.001,11.18,Dataset 25.xlsx,166
165,M26,14.59,0.001,17.71,Dataset 26.xlsx,166
165,M27,20.02,0.0007,14.52,Dataset 27.xlsx,166
165,M28,18.23,0.0009,22.37,Dataset 28.xlsx,166
165,M29,20.15,0.0014,11.07,Dataset 29.xlsx,166
165,M30,12.96,0.0005,8.6,Dataset 30.xlsx,166
166,M01,7.64,0.0019,5.02,Dataset 01.xlsx,159
166,M02,10.25,0.0005,10.2,Dataset 02.xlsx,159
166,M03,11.25,0.0005,7.28,Dataset 03.xlsx,159
166,M04,10.33,0.0005,6.47,Dataset 04.xlsx,159
166,M05,10.44,0,6.97,Dataset 05.xlsx,159
166,M06,13.91,0.0005,8.93,Dataset 06.xlsx,159
166,M07,15.59,0,10.38,Dataset 07.xlsx,159
166,M08,19.95,0.0003,20.92,Dataset 08.xlsx,159
166,M09,18.67,0.0004,19.02,Dataset 09.xlsx,159
166,M10,21.54,0.0003,14.95,Dataset 10.xlsx,159
166,M11,20.68,0.0003,14.6,Dataset 11.xlsx,159
166,M12,28.8,0.0003,29.57,Dataset 12.xlsx,159
166,M13,29.56,0.0003,22.28,Dataset 13.xlsx,159
166,M14,26.23,0.0002,33.97,Dataset 14.xlsx,159
166,M15,29.69,0.0002,17.55,Dataset 15.xlsx,159
166,M16,58.33,0.0002,45.66,Dataset 16.xlsx,159
166,M17,7.82,0.0022,7.5,Dataset 17.xlsx,159
166,M18,10.85,0.002,6.53,Dataset 18.xlsx,159
166,M19,10.24,0.0006,6.5,Dataset 19.xlsx,159
166,M20,12.43,0.0002,18.88,Dataset 20.xlsx,158
166,M21,9.69,0.0015,5.87,Dataset 21.xlsx,158
166,M22,24.53,0.0002,19.27,Dataset 22.xlsx,158
166,M23,21.23,0.0007,27.31,Dataset 23.xlsx,158
166,M24,24.95,0.0002,14.99,Dataset 24.xlsx,158
166,M25,14.83,0.001,10.41,Dataset 25.xlsx,167
166,M26,13.6,0.0004,16.44,Dataset 26.xlsx,167
166,M27,18.05,0.0007,12.99,Dataset 27.xlsx,167
166,M28,16.16,0.001,19.72,Dataset 28.xlsx,167
166,M29,17.94,0.0008,9.74,Dataset 29.xlsx,167
166,M30,11.28,0.0031,7.35,Dataset 30.xlsx,167
167,M01,6.82,0.001,4.37,Dataset 01.xlsx,160
167,M02,9.16,0.0006,9.01,Dataset 02.xlsx,160
167,M03,9.11,0.0007,5.71,Dataset 03.xlsx,160
167,M04,8.3,0.0006,5,Dataset 04.xlsx,160
167,M05,8.16,0,5.23,Dataset 05.xlsx,160
167,M06,11.47,0.0009,7.19,Dataset 06.xlsx,160
167,M07,12.35,0.0006,8.01,Dataset 07.xlsx,160
167,M08,16.71,0.0004,17.36,Dataset 08.xlsx,160
167,M09,15.55,0.0004,15.68,Dataset 09.xlsx,160
167,M10,18.32,0.0004,12.57,Dataset 10.xlsx,160
167,M11,17.33,0.0004,12.08,Dataset 11.xlsx,160
167,M12,23.43,0.0006,23.87,Dataset 12.xlsx,160
167,M13,22.83,0.0003,16.98,Dataset 13.xlsx,160
167,M14,19.31,0.0007,24.75,Dataset 14.xlsx,160
167,M15,22.94,0.0003,13.33,Dataset 15.xlsx,160
167,M16,50.34,0.0002,39.27,Dataset 16.xlsx,160
167,M17,6.52,0.003,6.08,Dataset 17.xlsx,160
167,M18,8.94,0.0025,5.2,Dataset 18.xlsx,160
167,M19,6.58,0.0008,3.82,Dataset 19.xlsx,160
167,M20,9.01,0.0003,13.42,Dataset 20.xlsx,159
167,M21,6.36,0.0011,3.51,Dataset 21.xlsx,159
167,M22,14.32,0.0009,10.83,Dataset 22.xlsx,159
167,M23,12.23,0,15.31,Dataset 23.xlsx,159
167,M24,14.5,0.0004,8.29,Dataset 24.xlsx,159
167,M25,13.44,0.0006,9.34,Dataset 25.xlsx,168
